Nombre de la Entidad|Municipio Entidad|Departamento Entidad
ANTIOQUIA  INSTITUCIÓN EDUCATIVA JOSÉ FÉLIX RESTREPO VÉLEZ  SABANETA|Sabaneta|Antioquia
BOGOTÁ DC  IED NUEVA CONSTITUCION|Bogotá D.C.|Bogotá D.C.
HUILA  INSTITUCIÓN EDUCATIVA EL DESCANSO  GARZÓN|Garzón|Huila
CHOCÓ  GOBERNACIÓN|Quibdó|Chocó
ATLÁNTICO  GRAN CENTRAL DE ABASTOS DEL CARIBE SA|Barranquilla|Atlántico
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL INTEGRADA ANTONIO NARIÑO  APULO|Apulo|Cundinamarca
CAQUETÁ  ESE HOSPITAL MARIA INMACULADA|Florencia|Caquetá
BOYACÁ  ALCALDÍA MUNICIPIO DE PUERTO BOYACÁ|Puerto Boyacá|Boyacá
CAUCA  ALCALDÍA MUNICIPIO DE PADILLA|Padilla|Cauca
VALLE DEL CAUCA  INSTITUTO MUNICIPAL PARA EL DESARROLLO SOCIAL Y ECONOMICO  IMDESEPAL|Palmira|Valle del Cauca
ANTIOQUIA  ALCALDÍA MUNICIPIO DE NECHÍ|Nechí|Antioquia
HUILA  ESE HOSPITAL SANTA TERESA DE TESALIA|Tesalia|Huila
BOYACÁ  ESE PUESTO DE SALUD DE CIÉNEGA|Ciénega|Boyacá
CALDAS  IE LICEO MIXTO SINAÍ  MANIZALES|Manizales|Caldas
CESAR  INSTITUCION ECUCATIVA ALFONSO ARAUJO COTESVALLEDUPAR|Valledupar|Cesar
SANTANDER  ESE HOSPITAL INTEGRADO SAN JUAN DE DIOS DE BARICHARA|Barichara|Santander
CÓRDOBA  INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA  INDEPORTES|Montería|Córdoba
BOYACÁ  INSTITUCIÓN EDUCATIVA TÉCNICO AGRICOLA BOAVITA|Boavita|Boyacá
FIDUCIARIA LA PREVISORA|Bogotá D.C.|Bogotá D.C.
ORGANIZACIONES SOLIDARIAS OS|Bogotá D.C.|Bogotá D.C.
RISARALDA  ALCALDÍA MUNICIPIO DE BELÉN DE UMBRÍA|Belén de Umbría|Risaralda
BOGOTÁ DC  IED ESTRELLA DEL SUR|Bogotá D.C.|Bogotá D.C.
SANTANDER  EMPRESA PÚBLICA DE ALCANTARILLADO DE SANTANDER SA ESP  EMPAS  BUCARAMANGA|Bucaramanga|Santander
VALLE DEL CAUCA  TEATRO MUNICIPAL ENRIQUE BUENAVENTURA  CALI|Cali|Valle del Cauca
BOGOTÁ DC  IED GENERAL SANTANDER  ENGATIVA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  CONTRALORÍA MUNICIPAL DE ENVIGADO|Envigado|Antioquia
BOGOTÁ DC  IED NUEVA ESPERANZA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  INSTITUCIÓN EDUCATIVA MANUEL JOSÉ GÓMEZ SERNA  MEDELLÍN|Medellín|Antioquia
TOLIMA  INSTITUCIÓN EDUCATIVA LUIS CARLOS GALÁN SARMIENTO  ALVARADO|Alvarado|Tolima
CESAR  CONCEJO MUNICIPIO DE LA JAGUA DE IBIRICO|La Jagua de Ibirico|Cesar
CALDAS  ALCALDÍA MUNICIPIO DE ANSERMA|Anserma|Caldas
COMPUTADORES PARA EDUCAR|Bogotá D.C.|Bogotá D.C.
CALDAS  ESE HOSPITAL SAN ANTONIO  MANZANARES|Manzanares|Caldas
TOLIMA  EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS DE ARMERO GUAYABAL SA ESP|Armero|Tolima
ANTIOQUIA  GOBERNACIÓN|Medellín|Antioquia
NARIÑO  ESE CENTRO DE SALUD SAN JUAN BAUTISTA  PUPIALES|Pupiales|Nariño
CALDAS  ALCALDÍA MUNICIPIO DE VILLAMARÍA|Villamaría|Caldas
TOLIMA  INSTITUTO LIBANENSE PARA EL DEPORTE Y LA RECREACIÓN  ILIDER|El Líbano|Tolima
NORTE DE SANTANDER  ESE HOSPITAL LOCAL JORGE CRISTO SAHIUM  VILLA DEL ROSARIO|Villa del Rosario|Norte De Santander
QUINDÍO  CONCEJO MUNICIPIO DE ARMENIA|Armenia|Quindío
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL CARLOS SARMIENTO LORA  TULUA|Tuluá|Valle del Cauca
BOYACÁ  ALCALDÍA MUNICIPIO DE BUENAVISTA|Buenavista|Boyacá
CASANARE  INSTITUTO PARA EL DEPORTE Y LA RECREACIÓN DE PAZ DE ARIPORO INDERPAZ|Paz de Ariporo|Casanare
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA CRISTÓBAL COLÓN  CALI|Cali|Valle del Cauca
HUILA  INSTITUCIÓN EDUCATIVA MONTESITOS  AGRADO|Agrado|Huila
VALLE DEL CAUCA  HOSPITAL LOCAL DE OBANDO|Obando|Valle del Cauca
ATLÁNTICO  COLEGIO DISTRITAL BUENOS AIRES  BARRANQUILLA|Barranquilla|Atlántico
META  INSTITUCIÓN EDUCATIVA NACIONAL INTEGRADO|San Martín|Meta
BOYACÁ  ESE CENTRO DE SALUD SACHICA  SACHICA|Sáchica|Boyacá
HUILA  INSTITUCIÓN EDUCATIVA LOS CAUCHOS  SAN AGUSTÍN|San Agustín|Huila
HUILA  INSTITUCION EDUCATIVA SAN ANTONIO ALTO  COLOMBIA|Colombia|Huila
CÓRDOBA  ESE HOSPITAL LOCAL DE MONTELIBANO|Montelíbano|Córdoba
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE CACHIPAY|Cachipay|Cundinamarca
CALDAS  INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA  AGUADAS|Aguadas|Caldas
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE RESTREPO|Restrepo|Valle del Cauca
BOYACÁ  ESE CENTRO SALUD PAYA BOYACÁ|Paya|Boyacá
NARIÑO  ESE HOSPITAL SAN ANDRÉS DE TUMACO|San Andres de Tumaco|Nariño
ANTIOQUIA  INSTITUCIÓN EDUCATIVA FEDERICO SIERRA ARANGO  BELLO|Bello|Antioquia
LA GUAJIRA  ESE HOSPITAL SAN LUCAS  EL MOLINO|El Molino|La Guajira
CESAR  ALCALDÍA MUNICIPIO DE EL PASO|El Paso|Cesar
CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PEQUE|Peque|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TEOFILO ROBERTO POTES|Buenaventura|Valle del Cauca
BOGOTÁ DC  IED TOMAS RUEDA VARGAS|Bogotá D.C.|Bogotá D.C.
BOLÍVAR  ESE HOSPITAL LOCAL DE CALAMAR|Calamar|Bolívar
TOLIMA  INSTITUCIÓN EDUCATIVA LA AGUADITA  FRESNO|Fresno|Tolima
CUNDINAMARCA  HOSPITAL HILARIO LUGO|Agua de Dios|Cundinamarca
INSTITUTO COLOMBIANO PARA EL FOMENTO DE LA EDUCACIÓN SUPERIOR ICFES|Bogotá D.C.|Bogotá D.C.
NARIÑO  ESE DE PRIMER NIVEL DEL MUNICIPIO DE EL ROSARIO|El Rosario|Nariño
SANTANDER  ALCALDÍA MUNICIPIO DE TONA|Tona|Santander
TOLIMA  ESE HOSPITAL SAN FRANCISCO DE IBAGUÉ|Ibagué|Tolima
NARIÑO  ASAMBLEA DEPARTAMENTAL DE NARIÑO  PASTO|Pasto|Nariño
QUINDÍO  INSTITUCIÓN EDUCATIVA LA POPA  LA TEBAIDA|La Tebaida|Quindío
ANTIOQUIA  ESE HOSPITAL HÉCTOR ABAD GÓMEZ  SAN JUAN DE URABÁ|San Juan de Urabá|Antioquia
BOLÍVAR  INSTITUCIÓN EDUCATIVA JUAN JOSÉ NIETO|Cartagena|Bolívar
ATLÁNTICO  ALCALDÍA MUNICIPIO DE CAMPO DE LA CRUZ|Campo de la Cruz|Atlántico
ANTIOQUIA  ESE HOSPITAL SAN JUAN DE DIOS  SEGOVIA|Segovia|Antioquia
CUNDINAMARCA  CONCEJO MUNICIPAL DE SESQUILÉ|Sesquilé|Cundinamarca
CALDAS  INSTITUCIÓN EDUCATIVA RURAL GIOVANNI MONTINI  MANIZALES|Manizales|Caldas
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ALBERTO MENDOZA MAYOR  YUMBO|Yumbo|Valle del Cauca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL TÉCNICA AGROPECUARIA FERRALARADA  CHOACHÍ|Choachí|Cundinamarca
CUNDINAMARCA  TERMINAL DE TRANSPORTES DE FUSAGASUGÁ EICE|Fusagasugá|Cundinamarca
TOLIMA  INSTITUCIÓN EDUCATIVA JUAN LOZANO SANCHEZ  COYAIMA|Coyaima|Tolima
NARIÑO  PERSONERIA MUNICIPAL DE LA LLANADA|La Llanada|Nariño
SANTANDER  COLEGIO INTEGRADO LUCAS CABALLERO  SUAITA|Suaita|Santander
QUINDÍO  INSTITUCIÓN EDUCATIVA LIBRE  CIRCASIA|Circasia|Quindío
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA GABRIEL GARCÍA MARQUEZ  SOACHA|Soacha|Cundinamarca
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA CIUDAD ARKALA|Ibagué|Tolima
TOLIMA  HOSPITAL SAN VICENTE DE ROVIRA|Rovira|Tolima
SANTANDER  IPS CENTRO DE SALUD DE ENCINO|Encino|Santander
RISARALDA  ESE SALUD PEREIRA|Pereira|Risaralda
BOYACÁ  ALCALDÍA MUNICIPIO DE FIRAVITOBA|Firavitoba|Boyacá
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE EL DOVIO|El Dovio|Valle del Cauca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL JOSE JOAQUIN CASAS DE CHIA|Chía|Cundinamarca
BOYACÁ  HOSPITAL ESPECIAL CUBARA EMPRESA SOCIAL DEL ESTADO  CUBARÁ|Cubará|Boyacá
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE SAN PEDRO|San Pedro|Valle del Cauca
ANTIOQUIA  OCCIDENTE LIMPIO SA ESP  SANTA FE DE ANTIOQUIA|Santafé de Antioquia|Antioquia
BOYACÁ  ALCALDÍA MUNICIPIO DE SOTAQUIRÁ|Sotaquirá|Boyacá
CRC  COMISIÓN DE REGULACIÓN DE COMUNICACIONES|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ESE HOSPITAL SAN JUAN DEL SUROESTE  HISPANIA|Hispania|Antioquia
CUNDINAMARCA  ESE CENTRO DE SALUD SAN JOSÉ DE NIMAIMA|Nimaima|Cundinamarca
CASANARE  ALCALDÍA MUNICIPIO DE RECETOR|Recetor|Casanare
QUINDÍO  HOSPITAL SAN VICENTE DE PAUL SALENTO|Salento|Quindío
VALLE DEL CAUCA  ESE HOSPITAL SAN AGUSTÍN DE PUERTO MERIZALDE|Buenaventura|Valle del Cauca
CESAR  INSTITUCION EDUCATIVA TECNICO INDUSTRIAL LAUREANO GOMEZ CASTRO  AGUACHICA|Aguachica|Cesar
SANTANDER  ESE HOSPITAL LOCAL DE PIEDECUESTA|Piedecuesta|Santander
SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA  INSTITUCION EDUCATIVA DE LA SAGRADA FAMILIA|San Andrés|San Andrés, Providencia y Santa Catalina
BOLÍVAR   ESE CENTRO DE SALUD CON CAMA DE ARROYOHONDO|Arroyohondo|Bolívar
HUILA  CONCEJO MUNICIPIO DE PITALITO|Pitalito|Huila
SANTANDER  HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS DE SAN JOSÉ DE MIRANDA|San José de Miranda|Santander
META  INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE  PUERTO LÓPEZ|Puerto López|Meta
BOGOTÁ DC  IED ISMAEL PERDOMO|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED COLEGIO FANNY MIKEY|Bogotá D.C.|Bogotá D.C.
BOYACÁ  INSTITUCIÓN EDUCATIVA BUTAGA  PESCA|Pesca|Boyacá
HUILA  INSTITUCIÓN EDUCATIVA JOAQUÍN GARCÍA BORRERO  BARAYA|Baraya|Huila
NARIÑO  INSTITUCIÓN EDUCATIVA PÉREZ PALLARES  IPIALES|Ipiales|Nariño
ANTIOQUIA  ESE HOSPITAL NUESTRA SEÑORA DE GUADALUPE  GUADALUPE|Guadalupe|Antioquia
CALDAS  ESE HOSPITAL DEPARTAMENTAL SAN JOSÉ  SAN JOSÉ CALDAS|San José|Caldas
ANTIOQUIA  INSTITUTO DEL DEPORTE LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE DEL MUNICIPIO DESANTO DOMINGO  JUNDEPORTES|Santo Domingo|Antioquia
NARIÑO  INSTITUCIÓN EDUCATIVA EL PALMAR  LEIVA|Leiva|Nariño
CÓRDOBA  INSTITUCIÓN EDUCATIVA PATIO BONITO  MONTERÍA|Montería|Córdoba
CALDAS  INSTITUCIÓN EDUCATIVA LA LINDA  MANIZALES|Manizales|Caldas
MAGDALENA  ALCALDÍA MUNICIPIO DE ZAPAYÁN|Zapayán|Magdalena
TOLIMA  INSTITUCIÓN EDUCATIVA FERNANDO GONZALEZ MESA  FRESNO|Fresno|Tolima
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE TERNERA  CARTAGENA|Cartagena|Bolívar
TOLIMA  CENTRO PROVINCIAL DE GESTION AGROEMPRESARIAL LOS NEVADOS  FRESNO|Fresno|Tolima
CALDAS  INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE  MANIZALES|Manizales|Caldas
ANTIOQUIA  INSTITUCIÓN EDUCATIVA JORGE ROBLEDO  MEDELLÍN|Medellín|Antioquia
BOGOTÁ DC  IED JUANA ESC SN LUIS SUR REP DEL C|Bogotá D.C.|Bogotá D.C.
HOTEL TEQUENDAMA INTERCONTINENTAL|Bogotá D.C.|Bogotá D.C.
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA FÉLIX TIBERIO GUZMÁN  EL ESPINAL|El Espinal|Tolima
NARIÑO  ALCALDÍA MUNICIPIO DE IMUES|Imués|Nariño
HUILA  INSTITUCIÓN EDUCATIVA EL JUNCAL  PALERMO|Palermo|Huila
VALLE DEL CAUCA  ALCALDÍA MUNICIPIO DE SEVILLA|Sevilla|Valle del Cauca
VALLE DEL CAUCA  PERSONERÍA MUNICIPIO DE PALMIRA|Palmira|Valle del Cauca
BOYACÁ  ESE HOSPITAL SAN RAFAEL  TUNJA|Tunja|Boyacá
BOYACA   EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DE LA PAZ  QUIPAMA|Quípama|Boyacá
CUNDINAMARCA  EMPRESA DE SERVICIOS PUBLICOS DE TABIO SA EMSERTABIO ESP|Tabio|Cundinamarca
SOCIEDAD TELEVISIÓN DE CALDAS RISARALDA Y QUINDÍO LTDA  TELECAFÉ|Manizales|Caldas
CALDAS  ALCALDÍA MUNICIPIO DE VITERBO|Viterbo|Caldas
BOGOTÁ DC  PATRIMONIO AUTONOMO INNPULSA COLOMBIA|Bogotá D.C.|Bogotá D.C.
CÓRDOBA  MONTERÍA CIUDAD AMABLE SAS|Montería|Córdoba
BOGOTÁ DC  IED CEDIT JAIME PARDO LEAL|Bogotá D.C.|Bogotá D.C.
SUCRE  CENTRO EDUCATIVO INDÍGENA ACHIOTE  SAMPUÉS|Sampués|Sucre
CÓRDOBA  ESE CAMU EL AMPARO  MONTERIA|Montería|Córdoba
BOYACÁ  ESE CENTRO DE SALUD SANTA SOFÍA|Santa Sofía|Boyacá
CAQUETÁ  EMPRESA DE SERVICIOS DE CURILLO SA ESP ESERCU|Curillo|Caquetá
ANTIOQUIA  INSTITUCIÓN EDUCATIVA EL TRIUNFO SANTA TERESA  MEDELLÍN|Medellín|Antioquia
BOLÍVAR  ALCALDÍA MUNICIPIO DE TIQUISIO|Tiquisio|Bolívar
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL TÉCNICA LA VIOLETA  SOPÓ|Sopó|Cundinamarca
PUTUMAYO  INSTITUCIÓN ETNODUCATIVA RURAL INDÍGENA KICHA LLAKTAMANDA  PUERTO LEGUÍZAMO|Puerto Leguízamo|Putumayo
NARIÑO  INSTITUCION EDUCATIVA CENTRO DE INTEGRACION POPULAR  PASTO|Pasto|Nariño
HUILA  CORPORACIÓN CENTRO PROVINCIAL DE GESTIÓN AGROEMPRESARIAL DEL CENTRO DEL DEPARTAMENTO DEL HUILA  CORPOAGROCENTRO|Garzón|Huila
TOLIMA  INSTITUCIÓN EDUCATIVA NIÑO JESÚS DE PRAGA|Ibagué|Tolima
NARIÑO  PERSONERÍA MUNICIPIO DE BUESACO|Buesaco|Nariño
CÓRDOBA  INSTITUCIÓN EDUCATIVA AGUAS NEGRAS  MONTERÍA|Montería|Córdoba
SUCRE  INSTITUCIÓN EDUCATIVA SAN ROQUE  GALERAS|Galeras|Sucre
BOYACÁ  CAMARA DE COMERCIO  DUITAMA|Duitama|Boyacá
QUINDÍO  CONCEJO MUNICIPIO DE CALARCA|Calarca|Quindío
HUILA  INSTITUCIÓN EDUCATIVA SAN SEBASTIÁN  LA PLATA|La Plata|Huila
ATLÁNTICO  EMPRESA DEPARTAMENTAL DE JUEGOS DE SUERTE Y AZAR EDUSUERTE  BARRANQUILLA|Barranquilla|Atlántico
CESAR  EMPRESA DE SERVICIOS PUBLICOS DE LA PAZ EMPAZ ESP|La Paz|Cesar
SUCRE  INSTITUCIÓN EDUCATIVA BOCA NEGRA LA UNIÓN|La Unión|Sucre
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA GUILLERMO VALENCIA  CALI|Cali|Valle del Cauca
NARIÑO  ALCALDÍA MUNICIPIO DE SAN BERNARDO|San Bernardo|Nariño
HUILA  ALCALDÍA MUNICIPIO DE GUADALUPE|Guadalupe|Huila
TOLIMA  EMPRESA DE SERVICIOS PÚBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL GUAMO|El Guamo|Tolima
SUCRE  ESE HOSPITAL DE SAN ONOFRE|San Onofre|Sucre
ANTIOQUIA  INSTITUTO PARA EL DEPORTE LA EDUCACIÓN FÍSICA LA RECREACIÓN Y LA ACTIVIDAD FISÍCA  EL PEÑOL|El Peñol|Antioquia
ANTIOQUIA  ESE HOSPITAL SAN VICENTE DE PAÚL  PUEBLORRICO|Pueblorrico|Antioquia
SUCRE  ESE HOSPITAL LA UNIÓN|La Unión|Sucre
ANTIOQUIA  ALCALDÍA MUNICIPIO DE BETANIA|Betania|Antioquia
NARIÑO  ALCALDÍA MUNICIPIO DE LEIVA|Leiva|Nariño
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE CABRERA|Cabrera|Cundinamarca
CALDAS  INDUSTRIA LICORERA DE CALDAS|Manizales|Caldas
ATLÁNTICO  TRANSMETRO SA|Barranquilla|Atlántico
CESÁR  ESE HOSPITAL SAN JOSÉ  LA GLORIA|La Gloria|Cesar
SANTANDER  ALCALDÍA MUNICIPIO DE RIONEGRO|Rionegro|Santander
SUCRE  ALCALDÍA MUNICIPIO DE SAN PEDRO|San Pedro|Sucre
HUILA  INSTITUCIÓN EDUCATIVA SAN LORENZO  SUAZA|Suaza|Huila
ANTIOQUIA  INSTITUCIÓN EDUCATIVA DIVINA EUCARISTÍA  BELLO|Bello|Antioquia
BOYACÁ  ESE CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE|Labranzagrande|Boyacá
BOGOTÁ DC  IED VISTA BELLA|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE CAPARRAPÍ|Caparrapí|Cundinamarca
MAGDALENA  ALCALDÍA MUNICIPIO DE TENERIFE|Tenerife|Magdalena
CAUCA  INSTITUTO MUNICIPAL DE DEPORTES Y LA RECREACIÓN  PUERTO TEJADA|Puerto Tejada|Cauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA EL DIAMANTE  CALI|Cali|Valle del Cauca
LA GUAJIRA  CONCEJO MUNICIPIO DE MAICAO|Maicao|La Guajira
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA JOSÉ ANTONIO GALÁN  YUMBO|Yumbo|Valle del Cauca
BOYACÁ  ESE CENTRO DE SALUD DE TOGUI|Togüí|Boyacá
UNAT  UNIDAD NACIONAL DE TIERRAS|Bogotá D.C.|Bogotá D.C.
RISARALDA  INSTITUCIÓN EDUCATIVA LUIS CARLOS GONZÁLEZ MEJÍA  PEREIRA|Pereira|Risaralda
VALLE DEL CAUCA  UNIDAD EJECUTORA DE SANEAMIENTO DEL VALLE DEL CAUCA|Cali|Valle del Cauca
TOLIMA  ALCALDÍA MUNICIPIO DE PLANADAS|Planadas|Tolima
DIRECCIÓN DE IMPUESTOS Y ADUANAS NACIONALES DIAN|Bogotá D.C.|Bogotá D.C.
CALDAS  GOBERNACIÓN|Manizales|Caldas
UNIDAD DE INFORMACIÓN Y ANÁLISIS FINANCIERO UIAF|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ESE HOSPITAL SAN JUAN DE DIOS DE SANTA FE DE ANTIOQUIA|Santafé de Antioquia|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA SAN PIO X  LA CUMBRE|La Cumbre|Valle del Cauca
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE LOS PATIOS|Los Patios|Norte De Santander
BOLÍVAR  REFINERÍA DE CARTAGENA SA|Cartagena|Bolívar
MAGDALENA  ESE HOSPITAL RAFAEL PABA MANJARREZ  SAN SEBASTIÁN DE BUENAVISTA|San Sebastián de Buenavista|Magdalena
CASANARE  ALCALDÍA MUNICIPIO DE PORE|Pore|Casanare
BOYACÁ  ALCALDÍA MUNICIPIO DE GUATEQUE|Guateque|Boyacá
SANTANDER  INSTITUTO DE CULTURA Y TURISMO DE SAN GIL|San Gil|Santander
INSTITUTO NACIONAL PARA CIEGOS INCI|Bogotá D.C.|Bogotá D.C.
QUINDÍO  INSTITUCIÓN EDUCATIVA GENERAL SANTANDER  CALARCA|Calarca|Quindío
AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA APC|Bogotá D.C.|Bogotá D.C.
LA GUAJIRA  INSTITUTO DE TRANSITO Y TRANSPORTE DEL MUNICIPIO DE ALBANIA|Albania|La Guajira
NARIÑO  ESE CENTRO DE SALUD CAMILO HURTADO CIFUENTES|Olaya Herrera|Nariño
CHOCÓ  ALCALDÍA MUNICIPIO DE NUQUÍ|Nuquí|Chocó
META  PERSONERÍA MUNICIPIO DE VILLAVICENCIO|Villavicencio|Meta
HUILA  EMPRESAS DEL PUEBLO Y PARA EL PUEBLO DE GIGANTE EMPUGIGANTE SAESP  GIGANTE|Gigante|Huila
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICA LA MARINA|Tuluá|Valle del Cauca
CESAR  EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE CHIMICHAGUA ACUACHIM ESP|Chimichagua|Cesar
VALLE DEL CAUCA  IE GABRIEL GARCÍA MÁRQUEZ  YUMBO|Yumbo|Valle del Cauca
META  EMPRESA DE DESARROLLO URBANO DE VILLAVICENCIO LTDA  EDUV LTDA|Villavicencio|Meta
TOLIMA  HOSPITAL SAN VICENTE DE PAÚL  FRESNO|Fresno|Tolima
SANTANDER  GOBERNACIÓN|Bucaramanga|Santander
BOYACÁ  ALCALDÍA MUNICIPIO DE MONGUA|Mongua|Boyacá
ANTIOQUIA  MUNICIPIOS ASOCIADOS DEL ORIENTE ANTIOQUEÑO  MASORA|Rionegro|Antioquia
ANTIOQUIA  ALCALDÍA MUNICIPIO DE SONSÓN|Sonsón|Antioquia
BOGOTÁ DC  IED COSTA RICA  PUERTA DE TEJA|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  SECRETARÍA DISTRITAL DEL HABITAT|Bogotá D.C.|Bogotá D.C.
TOLIMA  HOSPITAL SAN CARLOS EMPRESA SOCIAL DEL ESTADO  SALDAÑA|Saldaña|Tolima
CUNDINAMARCA  EMSERCOTA SA ESP  COTA|Cota|Cundinamarca
NORTE DE SANTANDER  PERSONERÍA MUNICIPIO DE LABATECA|Labateca|Norte De Santander
BOLÍVAR  INSTITUCIÓN EDUCATIVA LICEO MODERNO MAGANGUÉ  MAGANGUÉ|Magangué|Bolívar
BOYACÁ  ESE CENTRO DE SALUD SAN PABLO DE BORBUR|Boyacá|Boyacá
CUNDINAMARCA  INSTITUTO DE DEPORTES Y RECREACIÓN DE FACATATIVÁ|Facatativá|Cundinamarca
BOGOTÁ DC  ALCALDÍA LOCAL DE SAN CRISTOBAL|Bogotá D.C.|Bogotá D.C.
CUNDIMANARCA  INSTITUCIÓN EDUCATIVA RURAL DEPARTAMENTAL EL IMPARAL|Supatá|Cundinamarca
CESAR  HOSPITAL INMACULADA CONCEPCIÓN DE CHIMICHAGUA ESE|Chimichagua|Cesar
BOGOTÁ DC  IED GUSTAVO MORALES MORALES|Bogotá D.C.|Bogotá D.C.
BOYACÁ  CONCEJO MUNICIPIO DE LA CAPILLA|La Capilla|Boyacá
META  INSTITUCIÓN EDUCATIVA JORGE ELIÉCER GAITÁN  MAPIRIPÁN|Mapiripán|Meta
NARIÑO  CONCEJO MUNICIPIO DE SAN BERNARDO|San Bernardo|Nariño
SANTANDER  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN DEL SOCORRO|Socorro|Santander
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA SILVANO CAICEDO GIRON  BUENAVENTURA|Buenaventura|Valle del Cauca
CASANARE  CONCEJO MUNICIPIO DE OROCUE|Orocué|Casanare
CALDAS  INSTITUCIÓN EDUCATIVA FORTUNATO GAVIRIA BOTERO|Villamaría|Caldas
QUINDÍO  INSTITUCIÓN EDUCATIVA INSTITUTO TEBAIDA  LA TEBAIDA|La Tebaida|Quindío
PUTUMAYO  CENTRO EDUCATIVO RURAL MIXTO GALLINAZO  PUERTO GUZMÁN|Puerto Guzmán|Putumayo
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA SANTA LUCIA|Purificación|Tolima
ANTIOQUIA  PERSONERÍA MUNICIPIO DE SABANETA|Sabaneta|Antioquia
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA JUAN DE DIOS GIRON  LA UNIÓN|La Unión|Valle del Cauca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL LA ARBOLEDA  FACATATIVÁ|Facatativá|Cundinamarca
BOYACÁ  CONCEJO MUNICIPAL DE CERINZA|Cerinza|Boyacá
CASANARE  INSTITUCION EDUCATIVA LUIS ENRIQUE BARON LEAL  MANÍ|Maní|Casanare
RISARALDA  INSTITUCIÓN EDUCATIVA RAFAEL URIBE URIBE  PEREIRA|Pereira|Risaralda
UNIVERSIDAD SURCOLOMBIANA|Neiva|Huila
NARIÑO  INSTITUCIÓN EDUCATIVA  PROVIDENCIA|Providencia|Nariño
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RINCÓN SANTO  CAJICÁ|Cajicá|Cundinamarca
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA LUIS CARLOS GALÁN  SOACHA|Soacha|Cundinamarca
CESAR  INSTITUCION EDUCATIVA MINAS DE IRACAL  PUEBLO BELLO|Pueblo Bello|Cesar
SUCRE  INSTITUCIÓN EDUCATIVA MARIA INMACULADA  SAN BENITO ABAD|San Benito Abad|Sucre
